latitude,longitude,spatial_ref,X5_mean_summer_temp
22.75,111.25,0,27.030358063117525
22.75,111.5,0,28.327483024859568
22.75,111.75,0,28.1012456175722
22.75,112.0,0,27.21893303647298
22.75,112.25,0,28.64121773679685
22.75,112.5,0,28.544874307777356
22.75,112.75,0,28.310106335468756
22.75,113.0,0,28.593943923391627
22.75,113.25,0,28.836644845411342
22.75,113.5,0,28.903359178878254
22.75,114.0,0,28.420359130842492
22.75,114.25,0,28.297204260594956
22.75,114.5,0,28.22319549854118
22.75,114.75,0,28.24567701666938
22.75,115.5,0,28.16582590260242
22.75,120.25,0,29.77594718707162
22.75,120.5,0,30.214421198647585
22.75,120.75,0,25.87226342284288
22.75,121.0,0,25.76275976988282
23.0,99.5,0,20.92604291175838
23.0,99.75,0,20.19504922255876
23.0,100.0,0,19.769771912396386
23.0,100.25,0,24.00010461039376
23.0,100.5,0,23.06813085646944
23.0,100.75,0,23.777814678861372
23.0,101.0,0,22.149112789010147
23.0,101.25,0,21.47076574375614
23.0,101.5,0,21.547610749922953
23.0,101.75,0,23.474775972785228
23.0,102.0,0,19.815879817901763
23.0,102.25,0,18.766556313444998
23.0,102.5,0,20.048777570477785
23.0,102.75,0,21.942697982081846
23.0,103.0,0,20.535476830999205
23.0,103.25,0,25.04059726340443
23.0,103.5,0,23.21431352287518
23.0,103.75,0,25.589533028068246
23.0,104.0,0,21.60346135989768
23.0,104.25,0,20.36996737211253
23.0,104.5,0,21.0307739217633
23.0,104.75,0,23.42418579009556
23.0,105.75,0,24.871112292893702
23.0,106.0,0,24.938040133639404
23.0,106.25,0,23.992751003609325
23.0,106.5,0,25.376736061346254
23.0,106.75,0,26.42805072272706
23.0,107.0,0,25.796677369881674
23.0,107.25,0,26.032197178607486
23.0,107.5,0,26.836419489163184
23.0,107.75,0,27.500395643031716
23.0,108.0,0,28.14683458839044
23.0,108.25,0,27.527542536436602
23.0,108.5,0,27.55099191676986
23.0,108.75,0,26.95466326884521
23.0,109.0,0,27.836447888418487
23.0,109.25,0,27.46708536084854
23.0,109.5,0,28.2802189445085
23.0,109.75,0,28.422680289468182
23.0,110.0,0,27.975464682673334
23.0,110.25,0,26.566417843303714
23.0,110.5,0,27.423408530232823
23.0,110.75,0,26.494534744093677
23.0,111.0,0,27.24389504434231
23.0,111.25,0,27.004085957189343
23.0,111.5,0,26.52622366337982
23.0,111.75,0,28.244751535359068
23.0,112.0,0,27.61587279262866
23.0,112.25,0,27.455716593187006
23.0,112.5,0,28.76906488885858
23.0,112.75,0,28.3819234144673
23.0,113.0,0,28.785643365089406
23.0,113.25,0,28.785392353673707
23.0,113.5,0,28.791395288599592
23.0,113.75,0,28.436746395940013
23.0,114.0,0,28.45957432887816
23.0,114.25,0,28.26184926840474
23.0,114.5,0,28.146851141229195
23.0,114.75,0,27.436299320732548
23.0,115.0,0,26.89617240137048
23.0,115.25,0,26.9026881467183
23.0,115.5,0,28.03483158531749
23.0,115.75,0,27.87332890648464
