longitude,latitude,Y1_heavy_rain_prob,Y2_heavy_rain_intensity,X6_mean_annual_precip
72.875,28.875,0.0,,-36489.316
72.875,29.125,0.0,,-36489.316
72.875,29.375,0.0,,-36489.316
72.875,29.625,0.0,,-36489.316
72.875,29.875,0.0,,-36489.316
72.875,30.125,0.0,,-36489.316
72.875,30.375,0.0,,-36489.316
72.875,30.625,0.0,,-36489.316
72.875,30.875,0.0,,-36489.316
72.875,31.125,0.0,,-36489.316
72.875,31.375,0.0,,-36489.316
72.875,31.625,0.0,,-36489.316
72.875,31.875,0.0,,-36489.316
72.875,32.125,0.0,,-36489.316
72.875,32.375,0.0,,-36489.316
72.875,32.625,0.0,,-36489.316
72.875,32.875,0.0,,-36489.316
72.875,33.125,0.0,,-36489.316
72.875,33.375,0.0,,-36489.316
72.875,33.625,0.0,,-36489.316
72.875,33.875,0.0,,-36489.316
72.875,34.125,0.0,,-36489.316
72.875,34.375,0.0,,-36489.316
72.875,34.625,0.0,,-36489.316
72.875,34.875,0.0,,-36489.316
72.875,35.125,0.0,,-36489.316
72.875,35.375,0.0,,-36489.316
72.875,35.625,0.0,,-36489.316
72.875,35.875,0.0,,-36489.316
72.875,36.125,0.0,,-36489.316
72.875,36.375,0.0,,-36489.316
72.875,36.625,0.0,,-36489.316
72.875,36.875,0.0,,-36489.316
72.875,37.125,0.0,,-36489.316
72.875,37.375,0.0,,-36489.316
72.875,37.625,0.0,,-36489.316
72.875,37.875,0.0,,-36489.316
72.875,38.125,0.0,,-36489.316
72.875,38.375,0.0,,-36489.316
72.875,38.625,0.0,,-36489.316
72.875,38.875,0.0,,-36489.316
72.875,39.125,0.0,,-36489.316
72.875,39.375,0.0,,-36489.316
72.875,39.625,0.0,,-36489.316
72.875,39.875,0.0,,-36489.316
72.875,40.125,0.0,,-36489.316
72.875,40.375,0.0,,-36489.316
72.875,40.625,0.0,,-36489.316
72.875,40.875,0.0,,-36489.316
72.875,41.125,0.0,,-36489.316
72.875,41.375,0.0,,-36489.316
72.875,41.625,0.0,,-36489.316
72.875,41.875,0.0,,-36489.316
72.875,42.125,0.0,,-36489.316
72.875,42.375,0.0,,-36489.316
72.875,42.625,0.0,,-36489.316
72.875,42.875,0.0,,-36489.316
72.875,43.125,0.0,,-36489.316
72.875,43.375,0.0,,-36489.316
72.875,43.625,0.0,,-36489.316
72.875,43.875,0.0,,-36489.316
72.875,44.125,0.0,,-36489.316
72.875,44.375,0.0,,-36489.316
72.875,44.625,0.0,,-36489.316
72.875,44.875,0.0,,-36489.316
72.875,45.125,0.0,,-36489.316
72.875,45.375,0.0,,-36489.316
72.875,45.625,0.0,,-36489.316
72.875,45.875,0.0,,-36489.316
72.875,46.125,0.0,,-36489.316
72.875,46.375,0.0,,-36489.316
72.875,46.625,0.0,,-36489.316
72.875,46.875,0.0,,-36489.316
72.875,47.125,0.0,,-36489.316
72.875,47.375,0.0,,-36489.316
72.875,47.625,0.0,,-36489.316
72.875,47.875,0.0,,-36489.316
72.875,48.125,0.0,,-36489.316
72.875,48.375,0.0,,-36489.316
72.875,48.625,0.0,,-36489.316
72.875,48.875,0.0,,-36489.316
72.875,49.125,0.0,,-36489.316
72.875,49.375,0.0,,-36489.316
72.875,49.625,0.0,,-36489.316
72.875,49.875,0.0,,-36489.316
72.875,50.125,0.0,,-36489.316
72.875,50.375,0.0,,-36489.316
72.875,50.625,0.0,,-36489.316
72.875,50.875,0.0,,-36489.316
72.875,51.125,0.0,,-36489.316
72.875,51.375,0.0,,-36489.316
72.875,51.625,0.0,,-36489.316
72.875,51.875,0.0,,-36489.316
72.875,52.125,0.0,,-36489.316
72.875,52.375,0.0,,-36489.316
72.875,52.625,0.0,,-36489.316
72.875,52.875,0.0,,-36489.316
72.875,53.125,0.0,,-36489.316
72.875,53.375,0.0,,-36489.316
